author,period1,period2,period3,adf_c,adf_ct,adf_ctt,pp_c,pp_ct,kpss_c,kpss_ct,max,shift,mean,var,0,1,2,3,4,daily0,daily1,daily2,weekly0,weekly1,weekly2,icr,suptr,ar,isd
author314_2023-07-01_2023-09-30,11,27,29,0,0,0,0,0,0,0,67.5,False,6.8307692307692305,298.39443786982247,0.0,0.0,0.0,23.0,0.0,1,1,1,1,1,1,0.6913461538461538,1.0,1.0,0.028117913832199547
author363_2023-07-01_2023-09-30,28,10,19,0,0,0,0,0,0,0,55.63333333333333,False,7.123076923076923,167.14168113083497,1.25,1.0,0.75,0.0,0.0,1,1,1,1,1,1,0.9360576923076923,0.9442307692307692,0.9357051282051282,0.061224489795918366
author286_2023-07-01_2023-09-30,22,13,30,1,1,1,0,0,0,0,42.0,False,6.407692307692308,123.41455621301775,0.0,0.0,0.0,0.0,40.0,1,1,1,1,1,1,0.8932692307692308,1.0,0.9711538461538461,0.014965986394557823
author912_2023-07-01_2023-09-30,31,30,1,0,0,0,0,0,0,0,18.75,False,6.6923076923076925,30.16109467455621,3.0,3.25,12.75,14.0,2.0,1,0,0,1,1,1,0.8706730769230769,0.9870192307692308,0.9990384615384615,0.03310657596371882
author15_2023-07-01_2023-09-30,1,2,28,1,1,1,0,0,0,1,16.0,False,6.030769230769231,26.4298224852071,6.0,14.0,4.0,8.0,0.0,0,0,0,1,1,1,0.8826923076923077,1.0,1.0,0.010430839002267574
author290_2023-07-01_2023-09-30,1,2,3,1,1,1,1,1,1,1,8.0,False,6.276923076923077,10.815621301775147,8.0,8.0,8.0,8.0,8.0,0,0,0,1,1,1,0.823076923076923,1.0,1.0,0.04625850340136054
author157_2023-07-01_2023-09-30,2,13,6,0,1,1,0,0,0,0,15.25,False,6.953846153846154,10.490177514792899,11.0,8.0,7.0,6.5,7.0,1,1,1,1,1,1,0.9413461538461538,0.9418269230769231,1.0,0.11383219954648525
author9_2023-07-01_2023-09-30,7,18,3,0,0,0,0,0,0,0,98.0,True,6.769230769230769,248.62943786982248,1.5,7.5,15.0,2.25,13.75,1,1,1,1,1,1,0.825,0.9831730769230769,1.0,0.02312925170068027
author492_2023-07-01_2023-09-30,29,19,21,0,0,0,0,0,0,0,24.0,False,6.615384615384615,43.14630177514793,0.0,0.0,16.0,0.0,16.0,1,1,1,1,1,1,0.5182692307692307,1.0,1.0,0.018140589569160998
author28_2023-07-01_2023-09-30,22,14,20,0,0,0,0,0,0,0,59.75,False,6.769230769230769,98.0879079552926,5.5,6.0,13.5,7.5,9.5,1,1,1,1,1,1,0.8211538461538461,1.0,0.9999679487179487,0.047619047619047616
author29_2023-07-01_2023-09-30,3,26,32,1,0,0,0,0,0,1,27.5,False,6.369230769230769,48.71366863905326,3.0,7.0,4.75,0.0,19.0,1,1,1,1,1,1,0.8418269230769231,1.0,1.0,0.013151927437641724
author30_2023-07-01_2023-09-30,27,25,13,0,0,0,0,0,0,0,35.0,False,7.015384615384615,101.1228402366864,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.8673076923076923,1.0,0.9999358974358974,0.013151927437641724
author717_2023-07-01_2023-09-30,19,8,1,1,0,0,0,0,1,0,60.0,True,4.576923076923077,181.32485207100586,0.0,0.0,7.0,0.0,0.0,1,1,1,1,1,1,0.7894230769230769,1.0,1.0,0.006349206349206349
author435_2023-07-01_2023-09-30,31,17,28,0,0,0,0,0,0,0,121.0,True,6.769230769230769,418.515976331361,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.8375,0.8841346153846154,1.0,0.024036281179138322
author821_2023-07-01_2023-09-30,19,4,15,0,0,0,0,0,0,0,80.0,False,4.923076923076923,268.63254437869824,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.8596153846153847,0.9942307692307693,1.0,0.008616780045351474
author13_2023-07-01_2023-09-30,31,26,3,0,0,0,0,0,0,0,148.0,False,6.223076923076923,634.6233136094675,21.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.5173076923076922,1.0,1.0,0.0022675736961451248
author14_2023-07-01_2023-09-30,1,21,2,1,1,0,0,0,0,1,15.5,False,6.646205128205128,22.333051581854043,1.0,15.0,8.0,8.0,8.0,0,0,0,1,1,1,0.5397435897435897,0.7243525641025641,1.0,0.007709750566893424
author487_2023-07-01_2023-09-30,31,18,8,0,0,0,0,0,0,0,27.5,False,6.823076923076923,46.809082840236684,8.0,8.0,0.0,0.0,0.0,1,1,1,1,1,1,0.833173076923077,0.3557692307692307,1.0,0.03219954648526077
author18_2023-07-01_2023-09-30,26,7,3,0,0,0,0,0,0,0,24.0,False,6.769230769230769,36.008284023668644,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.8336538461538462,0.5331730769230769,1.0,0.020861678004535148
author17_2023-07-01_2023-09-30,24,30,11,0,0,0,0,0,0,0,88.0,False,7.7153846153846155,278.09976331360946,0.0,16.0,0.0,0.0,0.0,1,1,1,1,1,1,0.15240384615384617,1.0,1.0,0.0036281179138321997
